prompt,classes,answer_index
"Write a quote that ends in the word ""heavy"": Absence makes the heart grow","[' heavy.', ' fonder.']",0
"Write a quote that ends in the word ""returned"": Long absent, soon","[' returned.', ' forgotten.']",0
"Write a quote that ends in the word ""background"": The absent are always in the","[' background.', ' wrong.']",0
"Write a quote that ends in the word ""way"": Accidents will happen in the best","[' families.', ' way.']",1
"Write a quote that ends in the word ""thoughts"": Actions speak louder than","[' thoughts.', ' words.']",0
"Write a quote that ends in the word ""me"": Admiration: our polite recognition of another man's resemblance to","[' ourselves.', ' me.']",1
"Write a quote that ends in the word ""down"": He who does not advance goes","[' down.', ' backwards.']",0
"Write a quote that ends in the word ""appreciated"": Advice most needed is least","[' appreciated.', ' heeded.']",0
"Write a quote that ends in the word ""college"": Advise none to marry or go to","[' college.', ' war.']",0
"Write a quote that ends in the word ""business"": Advisers run no","[' risks.', ' business.']",1
"Write a quote that ends in the word ""life"": All is fair in love and","[' life.', ' war.']",0
"Write a quote that ends in the word ""happily"": All is well that ends","[' well.', ' happily.']",1
"Write a quote that ends in the word ""country"": America is God's","[' country.', ' melting-pot.']",0
"Write a quote that ends in the word ""sink"": Good riding at two anchors, men have told, for if the one fails, the other may","[' hold.', ' sink.']",1
"Write a quote that ends in the word ""alive"": Anger makes dull men witty, but it keeps them","[' poor.', ' alive.']",1
"Write a quote that ends in the word ""wounds"": Do not let sunset find you still nursing your","[' anger.', ' wounds.']",1
"Write a quote that ends in the word ""offence"": To apologize is to lay the foundation for a further","[' offence.', ' offense.']",0
"Write a quote that ends in the word ""song"": Applause is the echo of a","[' song.', ' platitude.']",0
"Write a quote that ends in the word ""barrel"": One rotten apple will spoil the whole barrel. or One scabbed sheep mars the whole","[' flock.', ' barrel.']",1
"Write a quote that ends in the word ""busy"": An apple a day keeps the doctor","[' busy.', ' away.']",0
"Write a quote that ends in the word ""head"": A rotten apple injures its","[' head.', ' companions.']",0
"Write a quote that ends in the word ""reason"": An apple a day keeps the doctor away--if you have good","[' reason.', ' aim.']",0
"Write a quote that ends in the word ""it"": The best art conceals","[' it.', ' art.']",0
"Write a quote that ends in the word ""leave"": When all men say you are an ass it is time to","[' leave.', ' bray.']",0
"Write a quote that ends in the word ""child"": Don't make clothes for a not yet born","[' baby.', ' child.']",1
"Write a quote that ends in the word ""others"": Don't throw the baby out with the","[' others.', ' bathwater.']",0
"Write a quote that ends in the word ""word"": Bad is the best","[' word.', ' choice.']",0
"Write a quote that ends in the word ""settlement"": A bad settlement is better than a good","[' lawsuit.', ' settlement.']",1
"Write a quote that ends in the word ""employer"": A bad workman quarrels with his","[' employer.', ' tools.']",0
"Write a quote that ends in the word ""ones"": Good laws have sprung from bad","[' customs.', ' ones.']",1
"Write a quote that ends in the word ""die"": Bait the hook well and the fish will","[' bite.', ' die.']",1
"Write a quote that ends in the word ""bark"": Barking dogs seldom","[' bite.', ' bark.']",1
"Write a quote that ends in the word ""bark"": His bark is worse than his","[' bark.', ' bite.']",0
"Write a quote that ends in the word ""me"": A thing of beauty is a joy for","[' ever.', ' me.']",1
"Write a quote that ends in the word ""mine"": As you make your bed, so you will sleep on","[' it.', ' mine.']",1
"Write a quote that ends in the word ""me"": Some days you get the bear, other days the bear gets","[' me.', ' you.']",0
"Write a quote that ends in the word ""us"": If you can't beat them, join","[' them.', ' us.']",1
"Write a quote that ends in the word ""good"": The best is","[' cheapest.', ' good.']",1
"Write a quote that ends in the word ""evil"": The good is the enemy of the","[' best.', ' evil.']",1
"Write a quote that ends in the word ""trusted"": A beggar can never be","[' trusted.', ' bankrupt.']",0
"Write a quote that ends in the word ""trusted"": Beggars can't be","[' trusted.', ' choosers.']",0
"Write a quote that ends in the word ""death"": Put a beggar on horseback and he'll ride it to death; Set a beggar on horseback, and he'll ride to the","[' Devil.', ' death.']",1
"Write a quote that ends in the word ""wrong"": Two wrongs don't make a","[' right.', ' wrong.']",1
"Write a quote that ends in the word ""start"": A good beginning makes a good","[' start.', ' ending.']",0
"Write a quote that ends in the word ""finished"": Well begun is half","[' done.', ' finished.']",1
"Write a quote that ends in the word ""food"": A bellyful is one of meat, drink, or","[' food.', ' sorrow.']",0
"Write a quote that ends in the word ""peace"": Better a lean peace than a fat","[' victory.', ' peace.']",1
"Write a quote that ends in the word ""better"": Better is the enemy of","[' good.', ' better.']",1
"Write a quote that ends in the word ""early"": Better late than","[' early.', ' never.']",0
"Write a quote that ends in the word ""ill"": Better safe than","[' sorry.', ' ill.']",1
"Write a quote that ends in the word ""not"": Better underdone than","[' not.', ' overdone.']",0
"Write a quote that ends in the word ""beasts"": Beware of the false prophets, who come to you in sheep's clothing, and inwardly are ravening","[' beasts.', ' wolves.']",0
"Write a quote that ends in the word ""game"": A bird in the hand is worth two in the","[' bush.', ' game.']",1
"Write a quote that ends in the word ""Guide"": Birds of a feather flock","[' together.', ' Guide.']",1
"Write a quote that ends in the word ""kill"": Deal gently with the bird you mean to","[' catch.', ' kill.']",1
"Write a quote that ends in the word ""clothes"": Fine feathers make fine","[' clothes.', ' birds.']",0
"Write a quote that ends in the word ""food"": It is an ill bird that fouls its own","[' nest.', ' food.']",1
"Write a quote that ends in the word ""call"": It is the early bird that gets the","[' call.', ' worm.']",0
"Write a quote that ends in the word ""talk"": Don't bark if you can't","[' talk.', ' bite.']",0
"Write a quote that ends in the word ""swallow"": Don't bite off more than you can","[' swallow.', ' chew.']",0
"Write a quote that ends in the word ""it"": Don't bite the hand that feeds","[' it.', ' you.']",0
"Write a quote that ends in the word ""blood"": Blood is thicker than","[' blood.', ' water.']",0
"Write a quote that ends in the word ""up"": Good blood always shows","[' up.', ' itself.']",0
"Write a quote that ends in the word ""book"": A book is a","[' friend.', ' book.']",1
"Write a quote that ends in the word ""book"": A great book is a great","[' book.', ' evil.']",0
"Write a quote that ends in the word ""themselves"": Books must follow sciences, and not sciences","[' themselves.', ' books.']",0
"Write a quote that ends in the word ""themselves"": Books think for","[' me.', ' themselves.']",1
"Write a quote that ends in the word ""like"": Classic, a book which people praise and don't","[' read.', ' like.']",1
"Write a quote that ends in the word ""title"": Don't judge a book by its","[' title.', ' cover.']",0
"Write a quote that ends in the word ""word"": Fear the man of one","[' word.', ' book.']",0
"Write a quote that ends in the word ""artist"": Like author, like","[' artist.', ' book.']",0
"Write a quote that ends in the word ""this"": No book was so bad, but some good might be got out of","[' it.', ' this.']",1
